step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,customer_id,account_age_days,high_risk_country,billing_country,is_disposable_email,customer_name,billing_city,email,is_new_device,shipping_billing_mismatch,num_failed_payment_attempts,browser,device_os,device_id,ip_billing_distance_km,hour_of_day,day_index,is_night,account_txn_total,account_txn_index,time_since_last_hours,txn_count_last_24h
351,CASH_IN,438813.33,C921172836,11766410.34,12205223.67,C1823470083,7844897.46,7406084.12,0,0,U111925,415,0,VN,0,Michael Calhoun,Hendersonchester,andresbrown@outlook.com,0,0,0,Firefox,Linux,D53485697,47.9,15,14,0,2,0,-1,0
596,CASH_OUT,110266.87,C1340139161,27825.0,0.0,C827040688,0.0,110266.87,0,0,U69511,137,0,BR,0,Lauren Pacheco,New Jamesburgh,stephen53@yahoo.com,0,0,1,Samsung Internet,macOS,D99384051,548.2,20,24,0,4,3,415,0
395,PAYMENT,28793.2,C101375806,134986.0,106192.8,M1839496832,0.0,0.0,0,0,U54335,177,0,VN,0,Rachel Mercado,Andreafurt,kmann@yahoo.com,0,0,0,Edge,iOS,D63392137,49.6,11,16,0,11,10,0,3
9,CASH_OUT,372789.15,C787826183,1078.0,0.0,C1806793275,143.0,0.0,0,0,U181099,114,0,GB,0,Veronica Mcfarland,West Laura,pdavis@proton.me,0,0,0,Opera,Android,D77558151,13.1,9,0,0,5,0,-1,0
379,CASH_OUT,37715.02,C1957832783,0.0,0.0,C1530024522,364825.97,402540.99,0,0,U79321,461,0,IN,0,Alyssa Turner,Paulview,hopkinschristopher@proton.me,0,0,0,Samsung Internet,Linux,D36277430,3.5,19,15,0,5,2,144,0
258,CASH_IN,12178.17,C945952734,938549.32,950727.48,C707555543,142807.84,130629.67,0,0,U115768,1169,0,US,0,Mrs. Amy Lee,Brownchester,oritter@icloud.com,0,0,1,Samsung Internet,Windows,D33396918,255.8,18,10,0,6,1,246,0
201,PAYMENT,4573.45,C1242667470,10065.0,5491.55,M932911428,0.0,0.0,0,0,U103964,533,0,VN,0,Julie Barker,North Nicoleland,michael29@gmail.com,0,0,2,Samsung Internet,Linux,D14212687,141.2,9,8,0,3,1,64,0
133,PAYMENT,3578.81,C939077779,19837.0,16258.19,M440707980,0.0,0.0,0,0,U53570,807,0,PH,0,Angela Hall,West Austin,qwright@icloud.com,0,0,0,Chrome,macOS,D92020156,372.1,13,5,0,4,1,2,1
43,PAYMENT,12165.17,C1283361862,0.0,0.0,M987359958,0.0,0.0,0,0,U51356,1252,0,VN,0,Heidi Maynard,Lake Cesarton,christopherkhan@yahoo.com,0,0,0,Edge,macOS,D73479597,107.6,19,1,0,8,1,31,0
140,PAYMENT,775.06,C100067614,0.0,0.0,M1207031582,0.0,0.0,0,0,U157635,749,0,VN,0,Hannah Russell,Dixonhaven,anthony81@proton.me,0,0,0,Safari,macOS,D59292229,164.9,20,5,0,5,2,7,1
210,CASH_OUT,114993.89,C887391309,91.0,0.0,C132512514,4913705.0,5028698.9,0,0,U17096,3088,0,VN,0,Danny Edwards,Griffithberg,browndavid@proton.me,0,0,3,Safari,iOS,D16170883,90.0,18,8,0,7,3,2,1
476,CASH_OUT,267675.62,C1537332385,1350.0,0.0,C68191278,181196.08,448871.7,0,0,U65414,458,0,FR,0,Robert Payne,Port Brittanyfort,michael77@icloud.com,0,0,1,Opera,macOS,D27208805,130.7,20,19,0,4,3,80,0
677,CASH_OUT,1600721.32,C2142600203,1600721.32,0.0,C1363796559,0.0,1600721.32,1,0,U41590,393,1,ID,0,Colleen Anderson,Lake Kristenland,simscrystal@icloud.com,1,0,0,Firefox,Android,D71671566,157.1,5,28,1,7,6,276,0
396,CASH_OUT,255451.14,C2034351682,0.0,0.0,C445171121,707035.83,962486.96,0,0,U144543,299,0,PH,0,Michael Morgan,Tylerfurt,watersshawn@gmail.com,0,0,0,Edge,Windows,D14055981,30.3,12,16,0,7,5,20,1
138,TRANSFER,1782089.95,C461325285,0.0,0.0,C1181943270,5373208.53,7155298.48,0,0,U9022,162,0,GB,0,Clayton Patterson,East Kathryn,pamelarowe@icloud.com,0,0,1,Samsung Internet,macOS,D49393120,48.9,18,5,0,7,2,102,0
403,CASH_IN,25728.38,C848728823,13906330.01,13932058.39,C398682085,519576.97,493848.59,0,0,U84810,173,0,PH,0,David Miller,New Johnville,harringtonvirginia@hotmail.com,0,0,0,Samsung Internet,iOS,D30316712,57.3,19,16,0,7,6,6,1
138,CASH_IN,83695.25,C1157294936,207975.0,291670.25,C1624895483,517262.06,247790.52,0,0,U191885,158,0,DE,0,Alexis Conley,East Joseph,william65@outlook.com,0,0,0,Samsung Internet,iOS,D92824941,854.5,18,5,0,4,1,102,0
278,CASH_IN,314776.22,C1758458282,1129140.02,1443916.24,C1421294159,1152671.79,837895.56,0,0,U198402,175,0,BR,0,Travis Miles,North Joel,silvajames@proton.me,1,0,0,Edge,macOS,D46773995,73.6,14,11,0,3,0,-1,0
188,CASH_OUT,52624.88,C1822682592,21184.0,0.0,C1712499806,0.0,52624.88,0,0,U79761,128,0,US,0,Jonathan Olsen,Kristinaport,jeremy39@yahoo.com,0,0,0,Firefox,Windows,D74112242,50.6,20,7,0,6,2,7,2
188,PAYMENT,216.76,C1383442506,0.0,0.0,M209258459,0.0,0.0,0,0,U77538,237,0,FR,0,Heidi Phillips,Adamston,molson@hotmail.com,0,0,0,Firefox,Windows,D54459712,256.3,20,7,0,6,2,50,0
330,CASH_OUT,254909.55,C1301629604,40246.0,0.0,C2120733371,3836605.61,4091515.17,0,0,U195933,500,0,DE,0,Kimberly Stout,New Amanda,james21@icloud.com,0,0,0,Safari,iOS,D87300786,257.7,18,13,0,5,2,150,0
331,CASH_OUT,22997.77,C655655259,19028.0,0.0,C1926841544,0.0,22997.77,0,0,U151160,568,0,US,0,Harold Thompson,Shannonberg,juliechase@hotmail.com,0,0,0,Firefox,macOS,D79708291,112.5,19,13,0,3,1,31,0
402,PAYMENT,11020.05,C1002593986,30390.0,19369.95,M497974922,0.0,0.0,0,0,U88684,636,0,VN,0,Eric Cross,Port Aaron,josekelley@gmail.com,0,0,0,Opera,Android,D19738849,19.6,18,16,0,5,4,98,0
209,TRANSFER,2591085.36,C1636197165,0.0,0.0,C1011395618,3833812.0,6424897.35,0,0,U37242,205,0,IN,0,Matthew Perez,Erikland,robert86@gmail.com,0,0,0,Samsung Internet,Linux,D75024278,138.5,17,8,0,7,3,5,1
209,CASH_IN,366830.51,C988358144,116096.0,482926.51,C396971572,0.0,0.0,0,0,U13418,754,0,BR,0,Sandra Rodriguez,Floydberg,odavis@proton.me,0,0,0,Chrome,Android,D75237919,57.2,17,8,0,6,2,5,1
204,PAYMENT,3732.75,C1158179724,0.0,0.0,M134902175,0.0,0.0,0,0,U179852,198,0,FR,0,Richard Santiago,Jameston,ewingnicholas@gmail.com,0,1,0,Samsung Internet,macOS,D78695113,31.1,12,8,0,2,1,193,0
16,TRANSFER,467310.1,C1075921991,242760.94,0.0,C1351164037,1319615.89,3495696.11,0,0,U117498,130,0,US,1,Cynthia Williams,Lake Rebeccaport,tanyataylor@mailinator.com,0,0,1,Edge,iOS,D87988607,69.2,16,0,0,4,0,-1,0
164,PAYMENT,13063.17,C1007334776,1459.0,0.0,M1662202860,0.0,0.0,0,0,U110118,447,1,ID,0,Mason Williams,Johnsonstad,kevin13@icloud.com,0,0,0,Edge,macOS,D43113415,137.2,20,6,0,6,0,-1,0
